Age,Gender,Occupation_Status,Country_Region,Monthly_Income_Range,Shop_Most_Where,Online_Shopping_Frequency,Preferred_Platform,Primary_Device,Top_Spending_Category,Review_Influence_Score,Social_Ads_Influence_Score,Price_Comparison_Frequency,Discount_Importance_Score,Follows_Brands_On_Social,Likely_To_Buy_After_Ad_Score,Makes_Shopping_List,Impulse_Purchase_Frequency,Return_Frequency,Avg_Monthly_Spend_NonEssentials,Preferred_Payment_Method,Uses_BNPL_Installments,Online_Shopping_Satisfaction_Score,Trust_In_Online_Reviews_Score,Regret_After_Purchase_Frequency,Reason_Prefer_Online,Reason_Prefer_InStore,Best_Shopping_Mode,Cluster
20.0,Male,,Philippines,"Under $1,000",Equal mix,Often,Physical stores,Smartphone,Electronics,2.0,4.0,2.0,4.0,No,4.0,Sometimes,,Never,Under $50,Digital wallet,"Yes, occasionally",6.0,7.0,2.0,More variety,No delivery wait,Online,1
24.0,Male,Employed part-time,Brazil,"Under $1,000",In-store only,Often,Local e-commerce,Laptop,Electronics,4.0,2.0,5.0,2.0,Yes,3.0,Never,4.0,Often,Under $50,Digital wallet,"No, never",5.0,8.0,3.0,,Try product before buying,Offline,1
22.0,Female,Student,India,"Under $1,000",Equal mix,Always,Local e-commerce,Smartphone,Books,3.0,3.0,5.0,3.0,No,2.0,Always,3.0,Sometimes,$150-300,Credit Card,"No, never",7.0,6.0,2.0,Better prices,Trust,Online,1
20.0,Male,Student,,"Under $1,000",In-store only,Occasionally,Brand websites,Smartphone,Beauty & personal care,3.0,4.0,3.0,2.0,Yes,5.0,Sometimes,5.0,Never,Under $50,Debit Card,"No, never",8.0,7.0,3.0,Better prices,Try product before buying,Equal / both,1
41.0,Male,Employed full-time,United States,"$1,000-3,000",Equal mix,Occasionally,,Smartphone,Electronics,2.0,1.0,,3.0,No,1.0,,2.0,Sometimes,$50-150,Debit Card,"No, never",6.0,8.0,2.0,Convenience,Trust,Equal / both,0
32.0,Male,Employed full-time,Egypt,"$1,000-3,000",Equal mix,Occasionally,Physical stores,Smartphone,Clothing,4.0,3.0,5.0,5.0,Yes,1.0,Often,2.0,Often,$500+,Digital wallet,"No, never",4.0,8.0,1.0,Better prices,No delivery wait,Offline,0
21.0,Prefer not to say,Student,India,"Under $1,000",Equal mix,Occasionally,Local e-commerce,Laptop,Groceries,5.0,,4.0,2.0,No,2.0,Always,1.0,Sometimes,Under $50,Credit Card,"Yes, occasionally",8.0,3.0,1.0,More variety,No delivery wait,Online,1
18.0,Female,Student,India,"Under $1,000",Equal mix,Occasionally,Global marketplace (Amazon etc.),Smartphone,,3.0,4.0,5.0,3.0,No,1.0,Never,2.0,Sometimes,$50-150,Credit Card,"Yes, occasionally",5.0,5.0,3.0,Better prices,No delivery wait,Equal / both,1
18.0,,Student,Indonesia,"$1,000-3,000",Equal mix,Occasionally,Global marketplace (Amazon etc.),,Books,5.0,5.0,5.0,,No,5.0,Often,5.0,Sometimes,$50-150,Digital wallet,"No, never",8.0,3.0,3.0,Convenience,No delivery wait,Offline,1
20.0,Female,Student,Brazil,"Under $1,000",,Rarely,Physical stores,Smartphone,Electronics,4.0,5.0,5.0,4.0,No,4.0,Often,4.0,Sometimes,$150-300,Digital wallet,"Yes, regularly",7.0,8.0,2.0,More variety,No delivery wait,Equal / both,1
37.0,Female,Employed full-time,Mexico,"Under $1,000",Online only,Often,Brand websites,Smartphone,Beauty & personal care,1.0,1.0,,5.0,No,2.0,Never,1.0,Sometimes,Under $50,Digital wallet,"Yes, occasionally",7.0,6.0,2.0,More variety,Try product before buying,Online,0
36.0,Male,Employed full-time,United States,"$6,000+",In-store only,Occasionally,Physical stores,Tablet,Beauty & personal care,4.0,3.0,5.0,3.0,No,4.0,Sometimes,2.0,Sometimes,$300-500,Credit Card,"No, never",7.0,9.0,2.0,,Trust,Offline,0
18.0,Female,Employed part-time,United Kingdom,"$1,000-3,000",Equal mix,Rarely,Global marketplace (Amazon etc.),Laptop,Clothing,4.0,4.0,5.0,5.0,No,4.0,Often,3.0,Never,$50-150,Credit Card,"No, never",7.0,5.0,2.0,More variety,No delivery wait,Online,1
18.0,Prefer not to say,Employed part-time,Indonesia,"Under $1,000",In-store only,Often,Physical stores,Laptop,miscellaneous,5.0,4.0,2.0,3.0,No,5.0,Always,4.0,Sometimes,$50-150,Digital wallet,"No, never",7.0,3.0,2.0,Convenience,Trust,Offline,1
21.0,Male,Employed full-time,Mexico,"$1,000-3,000",In-store only,Often,Local e-commerce,Smartphone,Electronics,4.0,5.0,4.0,,No,3.0,Never,3.0,Often,$300-500,,"Yes, occasionally",8.0,3.0,2.0,More variety,Not applicable,Offline,0
25.0,Male,Employed full-time,Nigeria,"$3,000-6,000",Equal mix,Often,Brand websites,Smartphone,Books,3.0,3.0,2.0,,No,5.0,Never,1.0,Never,$300-500,Credit Card,"Yes, occasionally",5.0,9.0,1.0,More variety,Try product before buying,Equal / both,0
